USD (AM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),USD_spread,GBP_spread,EURO_spread,USD_MA7,USD_MA30,USD_volatility,year,month,dow,USD (PM)
0.06482497865593365,0.0407893673898036,0.04294904594931512,0.05496240945975442,0.05757459642863236,0.6460328556448806,0.612214740177482,0.6445698785353038,0.06766605412927512,0.09224150894756067,0.009364412079480432,2003,1,3,367.6
0.06930723258934018,0.0436443385279732,0.04301794374081938,0.05901836092847598,0.057320639683837354,0.47243388092741384,0.5010644426352768,0.49524819050932795,0.06846889439974307,0.09285376699821696,0.004211522510615707,2003,1,4,367.5
0.06848396145871449,0.04455774569275736,0.04520430032455455,0.06067128467209679,0.05976329077688328,0.5504951648607714,0.5517870660606321,0.5226974878913418,0.06889707587732602,0.0935304732647318,0.003231134807029978,2003,2,0,369.5
0.07205146969142581,0.04711895774275515,0.047838951871677415,0.06295752974139826,0.06197621421386032,0.5784574158219736,0.5546436470188834,0.5202388773548591,0.06983818308326348,0.09420825366817759,0.007720871790075439,2003,2,1,376.55
0.07824124893279669,0.05180900518484788,0.05084197694404308,0.06814088300264379,0.06627194190761895,0.4712687871373648,0.4872576346703973,0.4896462930844248,0.07105136393641509,0.09507830458226812,0.013630883930092558,2003,2,2,382.1
0.07061836809366998,0.04581999177474552,0.04862254942038585,0.061119550404741735,0.062101846525773025,0.6157404171035775,0.6377042318049532,0.5882708094150466,0.07171147704768871,0.09576252980729988,0.013587996213161297,2003,2,3,375.8
0.0694291986827662,0.046892212446572545,0.04788488373268027,0.06078627067165296,0.06010429276636067,0.6017592916229757,0.5655206283599172,0.5305401442862038,0.07201031203725178,0.07988624889900964,0.013244226058945591,2003,2,4,373.25
0.07016099524332237,0.046951882261357436,0.04665758440668438,0.06006760817442655,0.059506641911118735,0.5097168822090177,0.5142120396097917,0.5347104457025195,0.07226900501329145,0.08034168295774347,0.012252489996334381,2003,2,0,370.5
0.06430662275887303,0.04331569554808101,0.04457962701491591,0.05603860654935097,0.05539218369597701,0.5819526971921247,0.5764342325337473,0.5315982804664644,0.07195678935255392,0.08070259296655136,0.014266370035369352,2003,2,1,364.0
0.06491645322600317,0.04385731386689776,0.04064694107585279,0.05452402533644632,0.049171589508984065,0.3792263777234068,0.398044413974247,0.3683340921829557,0.07077929028920091,0.06446217963866033,0.02118639413680878,2003,2,2,356.3
0.059488962068544954,0.03871010384383766,0.037689847864490006,0.04649207360181959,0.04369940495152838,0.5050565070488175,0.48549973869608787,0.45681294984403364,0.06866068401991043,0.064655524286236,0.026072761615158195,2003,2,3,352.8
0.06070862300280522,0.04006873962663218,0.039480271806380696,0.047472149582412165,0.045366725205341546,0.49224047535826615,0.5026758472783932,0.48068325720458444,0.06617633940518458,0.06486498098777632,0.023426201792752465,2003,2,4,354.25
0.0547932674716429,0.036677658152549086,0.03708171002481239,0.041964499869293265,0.040708458554348986,0.5493300710707211,0.5423383751987244,0.5099376104235125,0.0636072505396871,0.06476293797933358,0.023897489821235338,2003,2,0,347.0
0.05506769118185145,0.03718531057679597,0.03664627598250547,0.042070502587634145,0.03914523364469211,0.4712687871373648,0.5047267259150857,0.45205133703286704,0.06100694010811586,0.06465767256009797,0.022602927456354307,2003,2,1,344.1
0.05518965727527747,0.03790043035706417,0.0372305292544616,0.042374137492712266,0.04033156161861082,0.5108819759990681,0.4994896608249587,0.48267504295566105,0.05882143048295305,0.06457711229027477,0.017108521751812208,2003,2,2,346.0
0.057567996097085045,0.039665738877546514,0.040529355511685544,0.044275898125997665,0.043338660741607554,0.5493300710707211,0.5605765459321742,0.5210791619685938,0.05771083477547234,0.06455885196244818,0.011301582691498788,2003,2,3,351.55
0.05933650445176242,0.04158710691362011,0.04088486811584752,0.044787945155271486,0.04325789711252079,0.49923103809856706,0.4980979931786319,0.5005388714106239,0.05735401687748659,0.06454381404541454,0.009653636402363035,2003,2,4,352.3
0.05866569093791926,0.043010920494102794,0.04410744748380674,0.04618754036861991,0.047117501209211016,0.5924385413025754,0.5697688769644952,0.585905563835645,0.057568107616278036,0.06460074330275625,0.010630976628448266,2003,2,0,355.2
0.06244663983412613,0.04615322474039041,0.04622490627603762,0.05025517010292144,0.04735530522818868,0.5038914132587672,0.528824549896229,0.45323395982256875,0.057866942605841104,0.06469741562654405,0.012283117616012766,2003,2,1,357.6
0.05845225027442372,0.043392807308726106,0.04251544918144831,0.045759037854648715,0.04403771482003618,0.5236980076896182,0.4910664092813982,0.4939410811101834,0.05830404453087362,0.06471675009130162,0.011694039033799036,2003,2,2,351.9
0.05933650445176242,0.04305314836302748,0.04233080310021689,0.04590187202597243,0.043224694287229554,0.47476406850751457,0.4972556680242749,0.4607965213461851,0.05894185652352324,0.06469419321575115,0.008848948649717336,2003,2,3,351.25
0.055464080985486025,0.03992186008254628,0.04063316151755195,0.0415333023709574,0.04019516082281985,0.5341838518000702,0.5544971556876913,0.5070744184063413,0.05907120301154309,0.06448903306193474,0.007867470754791241,2003,2,4,347.45
0.05595194535919015,0.04093900092534111,0.03907423415511557,0.041339263496706274,0.037772251950217356,0.4701036933473144,0.4517701096890466,0.42976823394270625,0.05853151594083958,0.06426668671722269,0.010222411110720296,2003,3,0,345.5
0.05836077570435419,0.04239678040039363,0.042997733721978154,0.041323093590518695,0.041109584578813224,0.5621461027612724,0.5500291700863248,0.5460698488141249,0.05862964086278569,0.0642580936217749,0.01034817865069579,2003,3,1,353.4
0.05964141968532749,0.04219482102727551,0.04132489534425471,0.04172105294835779,0.04076499309470974,0.5260281952697189,0.4913960147765805,0.5203322423119403,0.05851813526966518,0.06416034716105609,0.009989435855913224,2003,3,2,353.95
0.05887913160141481,0.03988973018227751,0.04134877991197619,0.040961067357540876,0.04085024359207909,0.5726319468717231,0.584308141585337,0.5496177171832299,0.058259442293625424,0.06394551977486088,0.008483271590774508,2003,3,3,354.7
0.06092206366630079,0.04193227384222198,0.03891990310214605,0.04193126172879649,0.03600981008881313,0.4025282535244076,0.40599156869143316,0.3481361398009528,0.058156857147954544,0.06361790801091322,0.008450157669215554,2003,3,4,350.75
0.05878765703134531,0.04106935652071736,0.04148565685776465,0.03881945311580612,0.038678599343302006,0.5703017592916224,0.542704603526706,0.5484973376982497,0.05844231146634321,0.06331607553330895,0.009045576333799444,2003,3,0,354.45
0.0588181485547018,0.040286304951309415,0.03743446671731421,0.038262489680455675,0.03452286193996032,0.4351508796458113,0.4124371872638977,0.4236683900800353,0.05855381705946369,0.06289286558250445,0.008550456534271493,2003,3,1,348.7
0.056287352116111716,0.0365316966056137,0.035454803508091826,0.03558547187828734,0.03266260634999549,0.4712687871373648,0.48330236872820337,0.4518957287710644,0.058607339744161546,0.06238157640335992,0.008125806538521638,2003,3,2,346.1
0.05256738626661789,0.033971402552766455,0.029202558588385302,0.033507638933181455,0.02715362947262248,0.34310847023185326,0.336188449378272,0.332824286839554,0.056921375176178846,0.061670497755053816,0.017598230787915718,2003,3,3,334.5
0.04805464080985486,0.031039319653951764,0.031640621770416016,0.030874639208968185,0.030330332216701422,0.5318536642199695,0.550358775581507,0.5342124992647517,0.0552487912793706,0.060976605297643316,0.02065590304096487,2003,3,4,335.2
0.05110379314550556,0.03542918202781897,0.035781838358432044,0.03464582066316377,0.03435236094522162,0.5446696959105208,0.5403241193948302,0.5430510485351492,0.05400438886014525,0.06035897656233216,0.01897491679251227,2003,3,0,340.75
0.04768874252957678,0.03388970080636869,0.03704128998712991,0.035672609706076025,0.03705614777231478,0.6297215425841793,0.6519505137634107,0.6012485384494018,0.052938395389912796,0.059548003179445336,0.018148592172126204,2003,3,1,338.8
0.05018904744481034,0.037613097248946126,0.03507265042454821,0.03777290085422022,0.035244350359801974,0.4642782243970639,0.424925573248047,0.46565149911443293,0.051274731940554125,0.058553352381361584,0.01365826349433675,2003,3,2,335.8
0.04805464080985486,0.0347048822760454,0.034849421580074424,0.03508330645835031,0.03414775975153525,0.5458347897005712,0.5320473591824617,0.52079906709735,0.05012399421955008,0.05769404283658075,0.010190867430925675,2003,3,3,335.8
0.04625564093182097,0.03327372471835846,0.03332540243200019,0.03346451918334789,0.03423211287524805,0.560981008971222,0.5283850759026518,0.579805719972974,0.049000017840894916,0.05684010397645489,0.006243700676133123,2003,3,4,333.5
0.04479204781070861,0.030630810921962875,0.02988786195454768,0.0296430313543464,0.028425207943910596,0.5225329138995691,0.49677957119790056,0.5108090166896089,0.048549535244687914,0.05595823755612364,0.008918524795478158,2003,3,0,329.45
0.04653006464202952,0.03175168544276838,0.0315607003322711,0.030786603053057943,0.02931271049020831,0.5132121635791675,0.5187532708767548,0.5019704674192078,0.048255160478849646,0.05526864164643705,0.009573679696141193,2003,3,1,331.9
0.04445664105378708,0.030309511919274973,0.03030124870357323,0.02936185465230659,0.028065361107646264,0.5469998834906202,0.5260778374363725,0.5080703112818787,0.047291752154288075,0.054702571483812745,0.00839264151242875,2003,3,2,329.95
0.04662153921209902,0.0323327776390582,0.03236542653704083,0.030340133976656053,0.029244510092312798,0.52952347663987,0.5276526192466906,0.5150726830630041,0.04675206508358462,0.05427184257449141,0.006226392728619134,2003,3,3,332.75
0.04488352238077817,0.03202708458792944,0.03156621215559144,0.027954174485864375,0.02641509095330699,0.5493300710707211,0.5079861580341157,0.49960522183980616,0.04630158248737756,0.053766998216932704,0.0054445203620023894,2003,3,4,330.75
0.04796316623978536,0.03293498376981038,0.03266306499633925,0.028387168640443244,0.026756990316440882,0.5271932890597693,0.5154938387577248,0.49646193495138946,0.04621683823660597,0.05350598294270556,0.004816501158617982,2003,3,0,334.85
0.04814611537992439,0.03286246199491796,0.03317658320235101,0.028050295594868352,0.026345095808098434,0.5085517884189686,0.5388592060829068,0.4938477161531022,0.046292662039927934,0.05329652624116521,0.005156302605876898,2003,4,1,334.35
0.04485303085742165,0.03094660194174756,0.030447312021562284,0.025460415620488702,0.02388898411020471,0.5167074449493186,0.5064846218893951,0.49839147739774464,0.04627928136875345,0.05293776450621926,0.005232091003358293,2003,4,2,329.3
0.041468471764849385,0.028552465373147484,0.02780163682779871,0.02377335540824968,0.02179900086417083,0.5155423511592683,0.49652321136831373,0.4843556121831306,0.045547804677882664,0.0523394702356656,0.009301912438660203,2003,4,3,323.7
0.040553726064154166,0.027453622783954884,0.028260955437827112,0.022009937305680377,0.02206013659821801,0.5528253524408722,0.5586721586266739,0.5545038166038376,0.044999197159729554,0.051727212185009336,0.011386567342879324,2003,4,4,323.8
0.0384498109525552,0.027195665584654,0.0276316889420882,0.02299360659875907,0.02195604125406178,0.5423395083304201,0.5438765341762453,0.5168154955951968,0.04385291966245028,0.050968871511740316,0.01410474339368172,2003,4,0,319.9
0.04000487864373706,0.028336736042771316,0.029152033541282207,0.02188596802490886,0.022307811727417387,0.5644762903413718,0.5589651412890589,0.5673881806811099,0.04319726677490143,0.05023416185095275,0.014360251157405812,2003,4,1,323.4
0.0411025734845713,0.029486986472393978,0.027793369092818182,0.022106956742805967,0.02046101674230036,0.47476406850751457,0.458911562084674,0.49568389364237614,0.04199300636919953,0.04957786418612642,0.01230557215370886,2003,4,2,321.35
0.04171240395170145,0.028725966834598937,0.02773549494795463,0.022212061133025346,0.020789455500586446,0.5271932890597693,0.4869646520080122,0.503433185080155,0.04112326274285921,0.04900534920191624,0.007240948377536579,2003,4,3,324.6
0.04168191242834493,0.027605092313793433,0.028082739817136076,0.022548035850478626,0.022213587493482817,0.5330187580100199,0.5455245616521589,0.5411837493935172,0.04072184260762518,0.04851876517218415,0.004410697677104152,2003,4,4,324.8
0.04201731918526652,0.027684958065890136,0.028065285709955007,0.023511941924883623,0.022214484867139367,0.5469998834906202,0.5416425413755614,0.5078213380629948,0.040922552675242224,0.048098777632172546,0.005159222094233472,2003,4,0,325.95
0.04085864129771924,0.02715435571287983,0.028220535400144603,0.021923697806013193,0.021421206554776168,0.579622509612024,0.5689997974757358,0.5353328787497319,0.0410697400581613,0.04749833508775697,0.005503206137909908,2003,4,1,325.45
0.04095011586778877,0.026785320858364048,0.026950060124806052,0.01992581606372376,0.019006374045082236,0.5446696959105208,0.5330727985008079,0.5207990670973482,0.04144439885104639,0.04685707533996433,0.003736626338162969,2003,4,2,324.1
0.042322234418831595,0.027494932655729026,0.028037726593353296,0.01968686078339596,0.019130211609681952,0.5598159151811717,0.5481247827808233,0.5333722146510169,0.041765534959233575,0.04626200348020365,0.0043673219514000425,2003,4,3,327.0
0.04668252225881206,0.032205176035133565,0.03275401008112486,0.024543222608403442,0.024387026489573,0.5772923220319233,0.5482346512792181,0.5474392015179909,0.04297425558866036,0.045921502073084236,0.00919561998470516,2003,4,1,334.9
0.04701792901573365,0.03225474788126256,0.031394426995440816,0.02484506085723856,0.024997240576006247,0.5271932890597693,0.4920552257669472,0.5581450499300239,0.0437503345167794,0.04546714215128145,0.01064216727518495,2003,4,2,333.3
0.04592023417489938,0.029469544526533775,0.030398624248899275,0.022111448383413584,0.02266406906905563,0.5784574158219736,0.5634697497232237,0.5719319419257524,0.044544254339797695,0.045144901071988625,0.011203064585221191,2003,4,3,333.7
0.04677399682888156,0.030458227457661968,0.030634714014453834,0.023524518518585086,0.02306340034620677,0.5353489455901206,0.5334390268287885,0.5368267180630372,0.04519544700362174,0.044868847880727813,0.011123351145408108,2003,4,4,333.25
0.04698743749237713,0.029791761526372224,0.02973996136211854,0.023242443488423664,0.021546838866688872,0.5120470697891185,0.5243565642948623,0.49400332441490485,0.04583325899627125,0.04482803067735072,0.009945589278528177,2003,4,0,332.6
0.04628613245517749,0.029755041640350754,0.029685761766135188,0.023538891768529552,0.022665863816368675,0.5108819759990668,0.5236607304716985,0.522541879629541,0.046484451660095294,0.04474639627059654,0.0063059798164852975,2003,4,1,331.4
0.04835955604341993,0.031230263061263447,0.03156161896949114,0.02273758308412213,0.02192463317608359,0.5563206338110219,0.5395916627388679,0.5245959086853372,0.047354195286435585,0.044660465316118475,0.004203939165165364,2003,4,2,336.75
0.05015855592145382,0.03195456281303702,0.03290007339911388,0.02389552803277814,0.023841423306409176,0.5912734475125251,0.5640557150479928,0.5509559482347343,0.047916183475763124,0.0447120238888053,0.008185548324411701,2003,5,3,341.2
